Geolocation,Commodity,2010 Annual,2011 Annual,2012 Annual,2013 Annual,2014 Annual,2015 Annual,2016 Annual,2017 Annual,2018 Annual,2019 Annual,2020 Annual,2021 Annual,2022 Annual
..REGION X (NORTHERN MINDANAO),"Banana Lakatan, ripe*",2.71,..,..,..,..,..,..,..,..,..,..,..,..
..REGION X (NORTHERN MINDANAO),"Banana Latundan, ripe*",1.16,..,..,..,15.6,15.62,14.66,12.18,20.66,13.83,21.12,13.01,14.26
..REGION X (NORTHERN MINDANAO),"Banana Saba, ripe*",..,..,..,..,14.72,16.79,16.72,13.78,21.1,22.18,17.97,14.42,15.66
..REGION X (NORTHERN MINDANAO),"Banana Saba, Green",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION X (NORTHERN MINDANAO),Calamansi,17.74,24.46,27.98,23.52,..,..,..,29.4,28.72,27.2,27.95,29.75,38.32
..REGION X (NORTHERN MINDANAO),Mandarin Szinkom,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION X (NORTHERN MINDANAO),"Mango Carabao, green",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION X (NORTHERN MINDANAO),"Mango Carabao, ripe",39.42,45.63,43.11,42.1,42.86,40.65,58.56,85.84,63.91,79.64,90,76.88,84.07
..REGION X (NORTHERN MINDANAO),Muskmelon*,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION X (NORTHERN MINDANAO),Papaya Hawaiian*,13.54,..,..,..,..,..,..,..,..,..,..,..,..
..REGION X (NORTHERN MINDANAO),Pineapple Hawaiian*,26.27,..,..,..,..,..,..,..,..,..,..,..,..
..REGION X (NORTHERN MINDANAO),Watermelon*,32.83,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XI (DAVAO REGION),"Banana Bungulan, ripe*",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XI (DAVAO REGION),"Banana Lakatan, ripe*",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XI (DAVAO REGION),"Banana Latundan, ripe*",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XI (DAVAO REGION),"Banana Saba, ripe*",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XI (DAVAO REGION),"Banana Saba, Green",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XI (DAVAO REGION),Calamansi,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XI (DAVAO REGION),Mandarin Szinkom,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XI (DAVAO REGION),"Mango Carabao, green",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XI (DAVAO REGION),"Mango Carabao, ripe",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XI (DAVAO REGION),Muskmelon*,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XI (DAVAO REGION),Papaya Hawaiian*,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XI (DAVAO REGION),Pineapple Hawaiian*,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XI (DAVAO REGION),Watermelon*,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XII (SOCCSKSARGEN),"Banana Bungulan, ripe*",0.93,0.99,1,1.08,10.63,11.12,11.05,11.09,11.39,..,..,..,..
..REGION XII (SOCCSKSARGEN),"Banana Lakatan, ripe*",2.46,3.19,3.2,3.33,30.9,29.09,30.03,31.11,32.01,29.81,29.34,29.95,26.71
..REGION XII (SOCCSKSARGEN),"Banana Latundan, ripe*",1.33,1.19,1,1.08,11.08,11.64,11.59,11.98,12.4,11.98,13.23,14.56,14.7
..REGION XII (SOCCSKSARGEN),"Banana Saba, ripe*",1.93,2.17,2.2,2.21,18.93,22.67,27.8,32.55,32.25,23.06,36.1,56.79,49.59
..REGION XII (SOCCSKSARGEN),"Banana Saba, Green",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XII (SOCCSKSARGEN),Calamansi,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XII (SOCCSKSARGEN),Mandarin Szinkom,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XII (SOCCSKSARGEN),"Mango Carabao, green",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XII (SOCCSKSARGEN),"Mango Carabao, ripe",..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XII (SOCCSKSARGEN),Muskmelon*,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XII (SOCCSKSARGEN),Papaya Hawaiian*,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XII (SOCCSKSARGEN),Pineapple Hawaiian*,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XII (SOCCSKSARGEN),Watermelon*,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION XIII (CARAGA),"Banana Bungulan, ripe*",0.93,0.99,1,1.08,10.63,11.12,11.05,11.09,11.39,..,..,..,..
..REGION XIII (CARAGA),"Banana Lakatan, ripe*",2.46,3.19,3.2,3.33,30.9,29.09,30.03,31.11,32.01,29.81,29.34,29.95,26.71
..REGION XIII (CARAGA),"Banana Latundan, ripe*",1.33,1.19,1,1.08,11.08,11.64,11.59,11.98,12.4,11.98,13.23,14.56,14.7
..REGION XIII (CARAGA),"Banana Saba, ripe*",1.93,2.17,2.2,2.21,18.93,22.67,27.8,32.55,32.25,23.06,36.1,56.79,49.59
..REGION XIII (CARAGA),"Banana Saba, Green",..,..,..,..,..,..,..,..,..,..,..,..,..
